Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,22076 (10768 -- 59041),Likely decreasing,0.92 (0.67 -- 1.1),-0.11 (-0.47 -- 0.15),-6.5 (4.6 -- -1.5)
Czechia,14160 (6177 -- 36667),Likely decreasing,0.89 (0.62 -- 1.1),-0.15 (-0.57 -- 0.088),-4.7 (7.8 -- -1.2)
Denmark,14411 (7233 -- 31144),Increasing,1.2 (1 -- 1.3),0.19 (0.042 -- 0.38),3.6 (1.8 -- 16)
Estonia,2720 (1634 -- 4975),Likely increasing,1.1 (0.99 -- 1.2),0.085 (-0.016 -- 0.22),8.2 (3.1 -- -42)
France,44900 (19723 -- 113315),Stable,1 (0.84 -- 1.2),-0.0022 (-0.22 -- 0.25),-310 (2.8 -- -3.2)
Germany,90521 (49598 -- 190904),Decreasing,0.79 (0.65 -- 0.95),-0.29 (-0.53 -- -0.062),-2.4 (-11 -- -1.3)
Greece,10828 (6780 -- 19490),Likely decreasing,0.94 (0.87 -- 1),-0.073 (-0.17 -- 0.011),-9.5 (61 -- -4)
Hungary,1631 (765 -- 3791),Likely increasing,1.1 (0.93 -- 1.3),0.088 (-0.088 -- 0.29),7.9 (2.4 -- -7.8)
Iceland,166 (66 -- 472),Stable,1 (0.84 -- 1.3),0.03 (-0.21 -- 0.31),23 (2.2 -- -3.3)
Ireland,5834 (3334 -- 13435),Likely increasing,1 (0.88 -- 1.2),0.027 (-0.16 -- 0.2),26 (3.5 -- -4.3)
Italy,19867 (12589 -- 32020),Likely decreasing,0.97 (0.93 -- 1),-0.033 (-0.098 -- 0.047),-21 (15 -- -7.1)
Latvia,3617 (2064 -- 7213),Likely increasing,1.1 (0.95 -- 1.2),0.065 (-0.065 -- 0.21),11 (3.3 -- -11)
Luxembourg,429 (171 -- 1188),Likely increasing,1 (0.86 -- 1.2),0.042 (-0.19 -- 0.28),17 (2.5 -- -3.6)
Malta,426 (177 -- 1223),Stable,1 (0.84 -- 1.2),0.0087 (-0.22 -- 0.21),79 (3.4 -- -3.1)
Netherlands,27124 (10485 -- 78171),Stable,1 (0.73 -- 1.2),0.014 (-0.4 -- 0.23),49 (3 -- -1.7)
Slovakia,4956 (2000 -- 15919),Likely decreasing,0.9 (0.68 -- 1.1),-0.13 (-0.48 -- 0.15),-5.2 (4.8 -- -1.4)
Slovenia,1425 (624 -- 3176),Likely increasing,1.1 (0.96 -- 1.4),0.14 (-0.053 -- 0.41),4.9 (1.7 -- -13)
Spain,34264 (20170 -- 66261),Likely increasing,1 (0.92 -- 1.1),0.017 (-0.099 -- 0.11),40 (6.4 -- -7)
