Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,2239 (1012 -- 5084),Stable,0.98 (0.76 -- 1.2),-0.032 (-0.34 -- 0.26),-22 (2.7 -- -2)
Czechia,101 (42 -- 281),Decreasing,0.82 (0.62 -- 0.99),-0.25 (-0.59 -- -0.0093),-2.8 (-74 -- -1.2)
Estonia,121 (50 -- 332),Likely decreasing,0.87 (0.69 -- 1.1),-0.17 (-0.45 -- 0.078),-4 (8.9 -- -1.5)
Germany,9067 (4240 -- 19495),Stable,0.98 (0.76 -- 1.2),-0.023 (-0.34 -- 0.24),-31 (2.9 -- -2.1)
Greece,3896 (2016 -- 8699),Stable,1 (0.86 -- 1.3),-0.0033 (-0.19 -- 0.33),-210 (2.1 -- -3.7)
Ireland,2355 (1344 -- 3871),Likely decreasing,0.99 (0.93 -- 1.3),-0.016 (-0.091 -- 0.35),-44 (2 -- -7.6)
Italy,2965 (1591 -- 6473),Likely decreasing,0.92 (0.79 -- 1.1),-0.11 (-0.3 -- 0.12),-6.3 (5.6 -- -2.3)
Latvia,242 (106 -- 690),Likely decreasing,0.88 (0.73 -- 1.1),-0.15 (-0.4 -- 0.096),-4.5 (7.2 -- -1.7)
Malta,741 (350 -- 1847),Likely increasing,1.1 (0.94 -- 1.3),0.1 (-0.081 -- 0.35),6.6 (2 -- -8.5)
Netherlands,2273 (1354 -- 3990),Likely increasing,1.1 (0.96 -- 1.2),0.098 (-0.057 -- 0.27),7.1 (2.6 -- -12)
Slovakia,116 (42 -- 339),Likely decreasing,0.85 (0.65 -- 1.1),-0.2 (-0.54 -- 0.063),-3.5 (11 -- -1.3)
