region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
France,1248 (615 -- 2548),1248,1379,637,615,937,1111,1394,1664,2548,New confirmed cases by infection date,Stable,0.59
Spain,586 (216 -- 1753),586,742,558,216,402,509,687,901,1753,New confirmed cases by infection date,Likely decreasing,0.61
Finland,437 (97 -- 2053),437,711,1125,97,230,348,548,809,2053,New confirmed cases by infection date,Likely increasing,0.38
Greece,328 (166 -- 768),328,372,193,166,245,290,365,441,768,New confirmed cases by infection date,Stable,0.51
Germany,272 (107 -- 708),272,320,201,107,189,237,307,385,708,New confirmed cases by infection date,Likely decreasing,0.65
Italy,245 (114 -- 598),245,287,173,114,177,217,276,346,598,New confirmed cases by infection date,Decreasing,0.99
Austria,94 (37 -- 206),94,104,57,37,63,82,106,131,206,New confirmed cases by infection date,Likely decreasing,0.62
Sweden,68 (19 -- 312),68,103,111,19,40,56,85,119,312,New confirmed cases by infection date,Decreasing,0.95
Denmark,53 (16 -- 194),53,74,81,16,32,45,64,87,194,New confirmed cases by infection date,Likely decreasing,0.82
Croatia,52 (18 -- 160),52,67,53,18,36,46,61,81,160,New confirmed cases by infection date,Stable,0.55
Belgium,44 (16 -- 120),44,53,35,16,30,38,51,65,120,New confirmed cases by infection date,Stable,0.53
Romania,39 (12 -- 125),39,50,41,12,24,32,46,62,125,New confirmed cases by infection date,Likely decreasing,0.76
Malta,37 (12 -- 136),37,52,50,12,23,32,45,63,136,New confirmed cases by infection date,Likely increasing,0.39
Ireland,35 (10 -- 107),35,43,32,10,21,29,41,56,107,New confirmed cases by infection date,Likely decreasing,0.87
Latvia,22 (6 -- 75),22,30,29,6,14,19,27,36,75,New confirmed cases by infection date,Likely decreasing,0.73
Bulgaria,16 (2 -- 83),16,27,39,2,7,12,20,31,83,New confirmed cases by infection date,Decreasing,0.98
Hungary,15 (3 -- 62),15,22,33,3,9,12,18,25,62,New confirmed cases by infection date,Stable,0.57
Slovenia,12 (2 -- 59),12,19,24,2,6,9,15,23,59,New confirmed cases by infection date,Likely decreasing,0.94
