Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,9461 (5010 -- 20129),Decreasing,0.8 (0.68 -- 0.97),-0.28 (-0.48 -- -0.039),-2.5 (-18 -- -1.4)
Czechia,4627 (2327 -- 10195),Decreasing,0.74 (0.6 -- 0.91),-0.37 (-0.63 -- -0.11),-1.9 (-6.1 -- -1.1)
Denmark,15266 (6713 -- 37703),Likely increasing,1.1 (0.83 -- 1.2),0.065 (-0.23 -- 0.26),11 (2.6 -- -3)
Estonia,2762 (1560 -- 5488),Likely increasing,1 (0.93 -- 1.1),0.03 (-0.091 -- 0.14),23 (4.9 -- -7.6)
France,61598 (28282 -- 134774),Likely increasing,1.1 (0.9 -- 1.3),0.11 (-0.13 -- 0.33),6.2 (2.1 -- -5.5)
Germany,34513 (20698 -- 63185),Decreasing,0.76 (0.67 -- 0.85),-0.35 (-0.49 -- -0.21),-2 (-3.4 -- -1.4)
Greece,12726 (7678 -- 23227),Stable,1 (0.93 -- 1.2),0.0077 (-0.094 -- 0.19),90 (3.6 -- -7.4)
Hungary,1351 (625 -- 3557),Stable,1 (0.87 -- 1.2),0.023 (-0.18 -- 0.21),30 (3.3 -- -3.9)
Iceland,49 (12 -- 229),Likely decreasing,0.85 (0.61 -- 1.1),-0.2 (-0.62 -- 0.093),-3.4 (7.4 -- -1.1)
Ireland,6096 (3016 -- 12585),Stable,0.99 (0.83 -- 1.1),-0.017 (-0.23 -- 0.11),-40 (6.2 -- -3)
Italy,26615 (16012 -- 41691),Likely increasing,1 (0.95 -- 1.1),0.023 (-0.066 -- 0.15),30 (4.8 -- -10)
Latvia,3948 (2065 -- 8560),Likely increasing,1 (0.89 -- 1.1),0.032 (-0.15 -- 0.18),22 (3.9 -- -4.7)
Luxembourg,350 (147 -- 924),Stable,1 (0.83 -- 1.2),0.017 (-0.23 -- 0.28),41 (2.5 -- -3)
Malta,284 (135 -- 648),Likely decreasing,0.97 (0.83 -- 1.1),-0.04 (-0.24 -- 0.13),-17 (5.5 -- -2.9)
Netherlands,10542 (3052 -- 45031),Likely decreasing,0.91 (0.68 -- 1.2),-0.12 (-0.47 -- 0.18),-6 (3.8 -- -1.5)
Slovakia,2517 (1308 -- 4812),Decreasing,0.79 (0.68 -- 0.91),-0.3 (-0.48 -- -0.12),-2.3 (-5.6 -- -1.4)
Slovenia,1771 (700 -- 4802),Likely increasing,1.1 (0.91 -- 1.4),0.13 (-0.12 -- 0.42),5.2 (1.6 -- -5.8)
Spain,42248 (24019 -- 81930),Likely increasing,1 (0.97 -- 1.1),0.055 (-0.04 -- 0.16),13 (4.3 -- -17)
