region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Germany,48988 (22074 -- 94379),48988,52713,23719,22074,36235,43902,54834,64968,94379,New confirmed cases by infection date,Unsure
France,46571 (24991 -- 91924),46571,50839,21755,24991,36340,42146,51067,60454,91924,New confirmed cases by infection date,Unsure
Sweden,37428 (17180 -- 71818),37428,40246,18801,17180,27615,33498,41655,48827,71818,New confirmed cases by infection date,Unsure
Spain,34123 (14717 -- 67312),34123,37105,18743,14717,24208,30324,38397,46338,67312,New confirmed cases by infection date,Unsure
Italy,19968 (13367 -- 28994),19968,20401,4913,13367,17040,18821,21112,23260,28994,New confirmed cases by infection date,Likely decreasing
Netherlands,13452 (6827 -- 20830),13452,13586,4337,6827,10638,12356,14427,16225,20830,New confirmed cases by infection date,Unsure
Greece,9969 (7060 -- 14448),9969,10267,2302,7060,8711,9495,10521,11505,14448,New confirmed cases by infection date,Unsure
United Kingdom,9834 (5242 -- 16276),9834,10199,3451,5242,7848,9068,10658,12134,16276,New confirmed cases by infection date,Unsure
Poland,8325 (3969 -- 13738),8325,8558,3103,3969,6479,7611,9009,10327,13738,New confirmed cases by infection date,Unsure
Switzerland,8233 (4212 -- 16100),8233,8929,3954,4212,6282,7511,9074,10561,16100,New confirmed cases by infection date,Unsure
Denmark,6192 (4071 -- 9669),6192,6444,1764,4071,5244,5815,6632,7381,9669,New confirmed cases by infection date,Likely increasing
Belgium,5023 (2060 -- 9941),5023,5409,2535,2060,3663,4498,5599,6739,9941,New confirmed cases by infection date,Unsure
Lithuania,4748 (2563 -- 7932),4748,4942,1695,2563,3772,4346,5140,5857,7932,New confirmed cases by infection date,Unsure
Czechia,3311 (1765 -- 5666),3311,3460,1226,1765,2581,3029,3582,4144,5666,New confirmed cases by infection date,Likely decreasing
Latvia,3000 (2027 -- 4163),3000,3048,678,2027,2606,2846,3157,3449,4163,New confirmed cases by infection date,Unsure
Hungary,2888 (1638 -- 5442),2888,3136,1258,1638,2330,2669,3142,3676,5442,New confirmed cases by infection date,Unsure
Romania,2250 (1477 -- 3154),2250,2277,513,1477,1925,2126,2369,2598,3154,New confirmed cases by infection date,Unsure
Portugal,2234 (1272 -- 4259),2234,2428,984,1272,1734,2026,2464,2859,4259,New confirmed cases by infection date,Unsure
Norway,2077 (1124 -- 3559),2077,2179,782,1124,1636,1879,2280,2605,3559,New confirmed cases by infection date,Unsure
Austria,1781 (1174 -- 2689),1781,1834,467,1174,1512,1676,1890,2097,2689,New confirmed cases by infection date,Unsure
Croatia,1739 (999 -- 2965),1739,1840,617,999,1413,1618,1908,2177,2965,New confirmed cases by infection date,Unsure
Ireland,1696 (1003 -- 2611),1696,1738,528,1003,1400,1589,1809,2013,2611,New confirmed cases by infection date,Unsure
Slovenia,1654 (943 -- 2570),1654,1693,499,943,1361,1547,1768,1971,2570,New confirmed cases by infection date,Unsure
Bulgaria,1595 (829 -- 2925),1595,1707,665,829,1247,1451,1753,2044,2925,New confirmed cases by infection date,Unsure
Slovakia,1113 (718 -- 1572),1113,1125,265,718,955,1051,1173,1281,1572,New confirmed cases by infection date,Decreasing
Finland,1012 (683 -- 1542),1012,1050,271,683,857,950,1079,1202,1542,New confirmed cases by infection date,Unsure
Estonia,895 (464 -- 1560),895,938,329,464,705,828,976,1124,1560,New confirmed cases by infection date,Likely decreasing
Luxembourg,672 (376 -- 1178),672,707,257,376,538,619,727,824,1178,New confirmed cases by infection date,Unsure
Cyprus,309 (139 -- 688),309,350,198,139,227,277,348,421,688,New confirmed cases by infection date,Unsure
Iceland,11 (1 -- 80),11,25,65,1,5,8,15,24,80,New confirmed cases by infection date,Unsure
Liechtenstein,2 (0 -- 12),2,4,4,0,1,2,3,5,12,New confirmed cases by infection date,Unsure
Portugal,1.2 (0.88 -- 1.7),1.2,1.2,0.27,0.88,1,1.1,1.2,1.4,1.7,Effective reproduction no.,Unsure
