region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Portugal,1121 (604 -- 2298),1121,1261,642,604,852,1014,1257,1502,2298,New confirmed cases by infection date,Likely increasing,0.053
Greece,799 (395 -- 1707),799,893,438,395,596,715,896,1072,1707,New confirmed cases by infection date,Increasing,0.037
Spain,274 (131 -- 588),274,303,142,131,200,244,303,366,588,New confirmed cases by infection date,Stable,0.4
Finland,243 (65 -- 880),243,332,312,65,144,203,291,410,880,New confirmed cases by infection date,Likely decreasing,0.66
Italy,194 (68 -- 639),194,253,211,68,126,166,228,308,639,New confirmed cases by infection date,Decreasing,0.96
Germany,152 (75 -- 333),152,171,78,75,116,139,170,208,333,New confirmed cases by infection date,Stable,0.46
Sweden,150 (51 -- 506),150,205,195,51,96,127,178,245,506,New confirmed cases by infection date,Likely decreasing,0.88
Ireland,109 (41 -- 322),109,136,108,41,71,93,128,164,322,New confirmed cases by infection date,Stable,0.53
Croatia,56 (19 -- 219),56,81,87,19,35,47,68,95,219,New confirmed cases by infection date,Stable,0.43
Denmark,56 (18 -- 159),56,68,49,18,35,47,66,85,159,New confirmed cases by infection date,Likely decreasing,0.63
Romania,56 (16 -- 230),56,77,74,16,34,47,66,88,230,New confirmed cases by infection date,Stable,0.58
Bulgaria,29 (7 -- 119),29,42,47,7,16,23,35,49,119,New confirmed cases by infection date,Likely decreasing,0.87
Malta,28 (6 -- 104),28,38,36,6,16,23,33,47,104,New confirmed cases by infection date,Stable,0.59
Czechia,25 (6 -- 117),25,39,48,6,14,20,31,45,117,New confirmed cases by infection date,Likely increasing,0.22
Belgium,17 (8 -- 35),17,19,9,8,12,15,19,24,35,New confirmed cases by infection date,Stable,0.41
Latvia,15 (3 -- 61),15,22,33,3,8,12,18,26,61,New confirmed cases by infection date,Likely decreasing,0.72
Hungary,12 (2 -- 56),12,20,25,2,7,10,16,22,56,New confirmed cases by infection date,Stable,0.56
Slovenia,9 (1 -- 40),9,13,15,1,4,7,11,17,40,New confirmed cases by infection date,Likely decreasing,0.93
Lithuania,5 (1 -- 40),5,12,31,1,3,4,7,12,40,New confirmed cases by infection date,Likely increasing,0.29
Estonia,4 (0 -- 27),4,8,14,0,2,3,5,9,27,New confirmed cases by infection date,Likely decreasing,0.69
Czechia,1.1 (0.9 -- 1.6),1.1,1.2,0.24,0.9,1,1.1,1.1,1.2,1.6,Effective reproduction no.,Likely increasing,0.22
Greece,1.1 (1 -- 1.3),1.1,1.2,0.11,1,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Increasing,0.037
Lithuania,1.1 (0.83 -- 1.6),1.1,1.1,0.25,0.83,0.98,1.1,1.1,1.3,1.6,Effective reproduction no.,Likely increasing,0.29
Portugal,1.1 (1 -- 1.3),1.1,1.2,0.11,1,1.1,1.1,1.2,1.2,1.3,Effective reproduction no.,Likely increasing,0.053
Belgium,1 (0.85 -- 1.2),1,1,0.11,0.85,0.95,1,1.1,1.1,1.2,Effective reproduction no.,Stable,0.41
Croatia,1 (0.85 -- 1.4),1,1.1,0.18,0.85,0.95,0.99,1.1,1.1,1.4,Effective reproduction no.,Stable,0.43
Germany,1 (0.85 -- 1.2),1,1,0.11,0.85,0.95,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.46
Spain,1 (0.86 -- 1.2),1,1,0.11,0.86,0.96,1,1.1,1.1,1.2,Effective reproduction no.,Stable,0.4
Hungary,0.99 (0.76 -- 1.3),0.99,1,0.17,0.76,0.91,0.96,1,1.1,1.3,Effective reproduction no.,Stable,0.56
Ireland,0.99 (0.79 -- 1.2),0.99,1,0.13,0.79,0.93,0.97,1,1.1,1.2,Effective reproduction no.,Stable,0.53
Malta,0.98 (0.72 -- 1.2),0.98,0.97,0.15,0.72,0.89,0.95,1,1.1,1.2,Effective reproduction no.,Stable,0.59
Romania,0.98 (0.76 -- 1.2),0.98,0.98,0.13,0.76,0.91,0.95,1,1.1,1.2,Effective reproduction no.,Stable,0.58
Denmark,0.96 (0.72 -- 1.2),0.96,0.96,0.15,0.72,0.88,0.93,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.63
Finland,0.96 (0.69 -- 1.1),0.96,0.94,0.14,0.69,0.87,0.93,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.66
Estonia,0.93 (0.57 -- 1.2),0.93,0.92,0.2,0.57,0.81,0.88,0.97,1,1.2,Effective reproduction no.,Likely decreasing,0.69
Latvia,0.91 (0.65 -- 1.2),0.91,0.91,0.16,0.65,0.81,0.88,0.94,1,1.2,Effective reproduction no.,Likely decreasing,0.72
Sweden,0.87 (0.64 -- 1.1),0.87,0.86,0.13,0.64,0.78,0.84,0.9,0.95,1.1,Effective reproduction no.,Likely decreasing,0.88
Bulgaria,0.86 (0.63 -- 1.1),0.86,0.86,0.14,0.63,0.77,0.83,0.89,0.95,1.1,Effective reproduction no.,Likely decreasing,0.87
Slovenia,0.79 (0.5 -- 1),0.79,0.78,0.16,0.5,0.67,0.75,0.83,0.9,1,Effective reproduction no.,Likely decreasing,0.93
Italy,0.77 (0.55 -- 0.97),0.77,0.77,0.13,0.55,0.68,0.74,0.8,0.85,0.97,Effective reproduction no.,Decreasing,0.96
