Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,17 (8 -- 35),Stable,1 (0.85 -- 1.2),0.03 (-0.2 -- 0.27),23 (2.6 -- -3.4)
Bulgaria,29 (7 -- 119),Likely decreasing,0.86 (0.63 -- 1.1),-0.19 (-0.57 -- 0.1),-3.7 (6.7 -- -1.2)
Croatia,56 (19 -- 219),Stable,1 (0.85 -- 1.4),0.032 (-0.21 -- 0.44),22 (1.6 -- -3.3)
Czechia,25 (6 -- 117),Likely increasing,1.1 (0.9 -- 1.6),0.12 (-0.14 -- 0.65),5.6 (1.1 -- -5.1)
Denmark,56 (18 -- 159),Likely decreasing,0.96 (0.72 -- 1.2),-0.052 (-0.41 -- 0.25),-13 (2.8 -- -1.7)
Estonia,4 (0 -- 27),Likely decreasing,0.93 (0.57 -- 1.2),-0.097 (-0.69 -- 0.26),-7.1 (2.6 -- -1)
Finland,243 (65 -- 880),Likely decreasing,0.96 (0.69 -- 1.1),-0.056 (-0.46 -- 0.17),-12 (4 -- -1.5)
Germany,152 (75 -- 333),Stable,1 (0.85 -- 1.2),0.011 (-0.19 -- 0.24),64 (2.9 -- -3.6)
Greece,799 (395 -- 1707),Increasing,1.1 (1 -- 1.3),0.17 (0.015 -- 0.39),4.2 (1.8 -- 45)
Hungary,12 (2 -- 56),Stable,0.99 (0.76 -- 1.3),-0.019 (-0.34 -- 0.38),-36 (1.8 -- -2)
Ireland,109 (41 -- 322),Stable,0.99 (0.79 -- 1.2),-0.011 (-0.29 -- 0.23),-62 (3.1 -- -2.4)
Italy,194 (68 -- 639),Decreasing,0.77 (0.55 -- 0.97),-0.32 (-0.72 -- -0.033),-2.1 (-21 -- -0.97)
Latvia,15 (3 -- 61),Likely decreasing,0.91 (0.65 -- 1.2),-0.12 (-0.53 -- 0.21),-6 (3.3 -- -1.3)
Lithuania,5 (1 -- 40),Likely increasing,1.1 (0.83 -- 1.6),0.12 (-0.23 -- 0.62),5.9 (1.1 -- -3.1)
Malta,28 (6 -- 104),Stable,0.98 (0.72 -- 1.2),-0.027 (-0.41 -- 0.25),-26 (2.7 -- -1.7)
Portugal,1121 (604 -- 2298),Likely increasing,1.1 (1 -- 1.3),0.17 (-0.0022 -- 0.39),4.1 (1.8 -- -310)
Romania,56 (16 -- 230),Stable,0.98 (0.76 -- 1.2),-0.027 (-0.34 -- 0.23),-25 (3 -- -2.1)
Slovenia,9 (1 -- 40),Likely decreasing,0.79 (0.5 -- 1),-0.29 (-0.83 -- 0.032),-2.4 (22 -- -0.84)
Spain,274 (131 -- 588),Stable,1 (0.86 -- 1.2),0.034 (-0.19 -- 0.27),20 (2.6 -- -3.6)
Sweden,150 (51 -- 506),Likely decreasing,0.87 (0.64 -- 1.1),-0.17 (-0.55 -- 0.069),-4.1 (10 -- -1.3)
