Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,451 (47 -- 4433),Decreasing,0.61 (0.33 -- 0.99),-0.6 (-1.3 -- -0.016),-1.1 (-44 -- -0.53)
Czechia,217 (110 -- 578),Decreasing,0.7 (0.57 -- 0.86),-0.45 (-0.68 -- -0.19),-1.5 (-3.6 -- -1)
Denmark,1336 (709 -- 3277),Decreasing,0.74 (0.61 -- 0.93),-0.38 (-0.62 -- -0.088),-1.8 (-7.9 -- -1.1)
Estonia,180 (87 -- 410),Decreasing,0.75 (0.61 -- 0.89),-0.36 (-0.6 -- -0.14),-1.9 (-4.9 -- -1.1)
Germany,5041 (3093 -- 8671),Decreasing,0.75 (0.66 -- 0.84),-0.35 (-0.52 -- -0.21),-2 (-3.3 -- -1.3)
Greece,3336 (1905 -- 6438),Decreasing,0.76 (0.66 -- 0.89),-0.33 (-0.51 -- -0.15),-2.1 (-4.8 -- -1.3)
Hungary,532 (221 -- 1524),Likely decreasing,0.91 (0.69 -- 1.2),-0.11 (-0.46 -- 0.19),-6.1 (3.7 -- -1.5)
Ireland,1562 (878 -- 2850),Decreasing,0.78 (0.7 -- 0.86),-0.31 (-0.44 -- -0.19),-2.2 (-3.7 -- -1.6)
Italy,5494 (3522 -- 9575),Decreasing,0.82 (0.72 -- 0.9),-0.25 (-0.4 -- -0.14),-2.8 (-5 -- -1.7)
Latvia,516 (251 -- 1147),Decreasing,0.84 (0.68 -- 0.96),-0.22 (-0.47 -- -0.048),-3.2 (-14 -- -1.5)
Malta,650 (272 -- 1775),Likely increasing,1.1 (0.98 -- 1.4),0.18 (-0.027 -- 0.45),4 (1.5 -- -26)
Netherlands,2305 (686 -- 9860),Likely decreasing,0.94 (0.74 -- 1.2),-0.076 (-0.37 -- 0.26),-9.2 (2.7 -- -1.9)
Slovakia,227 (118 -- 496),Decreasing,0.77 (0.62 -- 0.91),-0.33 (-0.6 -- -0.12),-2.1 (-5.7 -- -1.2)
Spain,28827 (17388 -- 53356),Likely decreasing,0.93 (0.84 -- 1),-0.089 (-0.21 -- 0.027),-7.8 (26 -- -3.2)
