Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Bulgaria,474 (161 -- 1631),Increasing,1.4 (1.1 -- 1.9),0.47 (0.15 -- 0.87),1.5 (0.8 -- 4.7)
Croatia,709 (211 -- 2937),Likely increasing,1.1 (0.92 -- 1.4),0.14 (-0.11 -- 0.47),4.8 (1.5 -- -6.3)
Czechia,540 (164 -- 2056),Likely increasing,1.1 (0.91 -- 1.5),0.17 (-0.12 -- 0.53),4.1 (1.3 -- -6)
Denmark,173 (62 -- 475),Stable,0.98 (0.8 -- 1.2),-0.027 (-0.27 -- 0.21),-25 (3.3 -- -2.5)
Estonia,5 (0 -- 38),Likely increasing,1.1 (0.82 -- 1.7),0.11 (-0.26 -- 0.66),6.2 (1 -- -2.7)
Finland,470 (180 -- 1400),Likely increasing,1 (0.85 -- 1.4),0.057 (-0.21 -- 0.42),12 (1.7 -- -3.3)
Greece,1291 (663 -- 2901),Likely increasing,1 (0.93 -- 1.2),0.056 (-0.096 -- 0.19),12 (3.7 -- -7.2)
Hungary,42 (13 -- 200),Likely increasing,1 (0.8 -- 1.4),0.058 (-0.27 -- 0.41),12 (1.7 -- -2.6)
Ireland,75 (28 -- 194),Likely decreasing,0.88 (0.68 -- 1),-0.16 (-0.47 -- 0.043),-4.2 (16 -- -1.5)
Italy,3728 (1353 -- 7893),Likely decreasing,0.84 (0.76 -- 1.1),-0.2 (-0.35 -- 0.12),-3.4 (6 -- -2)
Latvia,47 (15 -- 188),Likely increasing,1.1 (0.89 -- 1.6),0.13 (-0.15 -- 0.61),5.4 (1.1 -- -4.7)
Lithuania,48 (14 -- 193),Likely increasing,1.2 (0.93 -- 1.6),0.19 (-0.086 -- 0.65),3.6 (1.1 -- -8)
Malta,20 (5 -- 76),Stable,0.99 (0.79 -- 1.3),-0.0082 (-0.3 -- 0.3),-84 (2.3 -- -2.3)
Poland,106 (35 -- 378),Likely increasing,1.2 (0.96 -- 1.5),0.18 (-0.049 -- 0.57),3.8 (1.2 -- -14)
Portugal,920 (456 -- 2059),Likely decreasing,0.95 (0.82 -- 1.1),-0.062 (-0.25 -- 0.096),-11 (7.2 -- -2.8)
Romania,1007 (288 -- 3949),Likely increasing,1.2 (0.93 -- 1.5),0.22 (-0.087 -- 0.54),3.2 (1.3 -- -8)
Slovakia,16 (6 -- 28),Likely increasing,1.1 (0.86 -- 1.2),0.075 (-0.19 -- 0.22),9.2 (3.2 -- -3.6)
Slovenia,239 (78 -- 944),Likely increasing,1.2 (1 -- 1.6),0.26 (-0.0048 -- 0.64),2.7 (1.1 -- -140)
Sweden,1204 (403 -- 3571),Likely increasing,1.1 (0.9 -- 1.4),0.12 (-0.13 -- 0.39),5.9 (1.8 -- -5.4)
