Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,114 (48 -- 271),Decreasing,0.76 (0.57 -- 0.93),-0.34 (-0.69 -- -0.087),-2 (-7.9 -- -1)
Belgium,114 (53 -- 308),Decreasing,0.78 (0.63 -- 0.95),-0.31 (-0.56 -- -0.066),-2.2 (-10 -- -1.2)
Bulgaria,351 (140 -- 905),Stable,0.99 (0.81 -- 1.1),-0.015 (-0.27 -- 0.17),-46 (4.1 -- -2.6)
Croatia,501 (216 -- 1356),Likely decreasing,0.95 (0.8 -- 1.1),-0.06 (-0.28 -- 0.17),-11 (4 -- -2.5)
Cyprus,14 (5 -- 38),Stable,1 (0.8 -- 1.3),0.013 (-0.28 -- 0.31),52 (2.2 -- -2.5)
Czechia,50 (22 -- 118),Decreasing,0.72 (0.57 -- 0.88),-0.41 (-0.7 -- -0.17),-1.7 (-4.2 -- -0.99)
Denmark,246 (84 -- 829),Likely decreasing,0.83 (0.59 -- 1),-0.23 (-0.64 -- 0.046),-3.1 (15 -- -1.1)
Estonia,49 (14 -- 187),Likely decreasing,0.83 (0.6 -- 1),-0.24 (-0.62 -- 0.039),-2.9 (18 -- -1.1)
Finland,1395 (597 -- 3022),Likely decreasing,0.97 (0.73 -- 1.1),-0.042 (-0.39 -- 0.14),-16 (4.8 -- -1.8)
France,3343 (1650 -- 7570),Likely decreasing,0.92 (0.76 -- 1.1),-0.1 (-0.33 -- 0.075),-6.9 (9.3 -- -2.1)
Germany,324 (184 -- 627),Decreasing,0.63 (0.53 -- 0.75),-0.57 (-0.79 -- -0.36),-1.2 (-1.9 -- -0.88)
Greece,855 (488 -- 1658),Stable,0.99 (0.9 -- 1.1),-0.013 (-0.13 -- 0.14),-54 (5.1 -- -5.3)
Hungary,58 (21 -- 161),Likely decreasing,0.84 (0.64 -- 1),-0.21 (-0.55 -- 0.016),-3.2 (44 -- -1.3)
Ireland,116 (34 -- 365),Likely decreasing,0.89 (0.66 -- 1.1),-0.14 (-0.51 -- 0.12),-4.9 (5.9 -- -1.4)
Italy,1235 (589 -- 3425),Decreasing,0.69 (0.53 -- 0.92),-0.45 (-0.77 -- -0.1),-1.5 (-6.8 -- -0.9)
Latvia,142 (59 -- 369),Likely decreasing,0.91 (0.74 -- 1.1),-0.11 (-0.37 -- 0.1),-6.1 (6.8 -- -1.9)
Liechtenstein,1 (0 -- 7),Likely decreasing,0.88 (0.47 -- 1.2),-0.16 (-0.89 -- 0.23),-4.4 (3 -- -0.78)
Lithuania,33 (11 -- 115),Likely decreasing,0.97 (0.78 -- 1.2),-0.035 (-0.3 -- 0.26),-20 (2.7 -- -2.3)
Luxembourg,540 (243 -- 1220),Stable,0.98 (0.83 -- 1.2),-0.024 (-0.22 -- 0.2),-28 (3.5 -- -3.1)
Malta,10 (2 -- 46),Likely decreasing,0.95 (0.7 -- 1.2),-0.063 (-0.44 -- 0.27),-11 (2.6 -- -1.6)
Poland,137 (58 -- 390),Decreasing,0.74 (0.58 -- 0.91),-0.37 (-0.67 -- -0.12),-1.9 (-5.9 -- -1)
Portugal,590 (337 -- 1320),Stable,0.99 (0.88 -- 1.1),-0.0088 (-0.17 -- 0.16),-79 (4.3 -- -4.2)
Romania,134 (59 -- 339),Decreasing,0.76 (0.59 -- 0.93),-0.35 (-0.65 -- -0.098),-2 (-7.1 -- -1.1)
Slovakia,9 (0 -- 53),Decreasing,0.72 (0.42 -- 0.99),-0.4 (-1 -- -0.011),-1.7 (-62 -- -0.67)
Slovenia,110 (39 -- 359),Decreasing,0.75 (0.54 -- 0.98),-0.36 (-0.75 -- -0.029),-1.9 (-24 -- -0.92)
Spain,1191 (477 -- 3120),Likely decreasing,0.94 (0.74 -- 1.1),-0.077 (-0.37 -- 0.14),-8.9 (5.1 -- -1.9)
Sweden,1128 (290 -- 3234),Likely decreasing,0.97 (0.67 -- 1.1),-0.045 (-0.49 -- 0.15),-16 (4.7 -- -1.4)
