Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,3534 (2290 -- 6205),Decreasing,0.84 (0.77 -- 0.94),-0.22 (-0.33 -- -0.085),-3.1 (-8.2 -- -2.1)
Cyprus,47 (18 -- 105),Likely decreasing,0.95 (0.77 -- 1.2),-0.068 (-0.34 -- 0.22),-10 (3.2 -- -2.1)
Czechia,1244 (705 -- 2843),Decreasing,0.67 (0.57 -- 0.81),-0.49 (-0.69 -- -0.27),-1.4 (-2.6 -- -1)
Denmark,6887 (3613 -- 15158),Likely decreasing,0.94 (0.81 -- 1.1),-0.078 (-0.27 -- 0.084),-8.9 (8.3 -- -2.6)
Estonia,1494 (767 -- 3325),Likely decreasing,0.89 (0.74 -- 1),-0.15 (-0.38 -- 0.037),-4.7 (19 -- -1.8)
France,58389 (29505 -- 130127),Stable,1 (0.83 -- 1.2),-0.0055 (-0.24 -- 0.24),-130 (2.9 -- -2.8)
Germany,24698 (15921 -- 40168),Decreasing,0.82 (0.74 -- 0.91),-0.26 (-0.38 -- -0.12),-2.7 (-6 -- -1.8)
Greece,10202 (6175 -- 18733),Likely decreasing,0.97 (0.87 -- 1),-0.043 (-0.17 -- 0.053),-16 (13 -- -4.1)
Hungary,1062 (551 -- 2293),Stable,0.99 (0.87 -- 1.1),-0.012 (-0.18 -- 0.16),-57 (4.4 -- -3.8)
Iceland,50 (11 -- 207),Likely decreasing,0.86 (0.57 -- 1.1),-0.19 (-0.69 -- 0.13),-3.7 (5.3 -- -1)
Ireland,4648 (2600 -- 8815),Likely decreasing,0.89 (0.77 -- 1),-0.15 (-0.33 -- 0.031),-4.8 (22 -- -2.1)
Italy,29064 (14991 -- 57001),Stable,1 (0.88 -- 1.1),-0.0033 (-0.16 -- 0.13),-210 (5.5 -- -4.3)
Latvia,1941 (878 -- 4719),Likely decreasing,0.87 (0.72 -- 1),-0.17 (-0.41 -- 0.024),-4.1 (29 -- -1.7)
Luxembourg,310 (147 -- 725),Stable,1 (0.8 -- 1.2),-0.006 (-0.28 -- 0.26),-120 (2.6 -- -2.5)
Malta,142 (69 -- 351),Likely decreasing,0.91 (0.77 -- 1),-0.12 (-0.33 -- 0.061),-5.9 (11 -- -2.1)
Netherlands,5705 (1586 -- 25166),Likely decreasing,0.89 (0.66 -- 1.1),-0.15 (-0.51 -- 0.15),-4.7 (4.8 -- -1.4)
Slovakia,576 (320 -- 1070),Decreasing,0.69 (0.58 -- 0.8),-0.46 (-0.66 -- -0.28),-1.5 (-2.5 -- -1.1)
Slovenia,1362 (607 -- 3129),Stable,1 (0.82 -- 1.2),0.011 (-0.25 -- 0.28),63 (2.5 -- -2.8)
Spain,41637 (24256 -- 80297),Likely increasing,1 (0.96 -- 1.1),0.043 (-0.055 -- 0.14),16 (4.8 -- -13)
