Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,65 (25 -- 185),Likely decreasing,0.79 (0.61 -- 1),-0.29 (-0.59 -- 0.03),-2.4 (23 -- -1.2)
Belgium,38 (10 -- 131),Likely decreasing,0.82 (0.56 -- 1),-0.25 (-0.7 -- 0.04),-2.8 (17 -- -0.99)
Bulgaria,144 (64 -- 378),Likely decreasing,0.96 (0.79 -- 1.1),-0.054 (-0.29 -- 0.16),-13 (4.5 -- -2.4)
Croatia,41 (10 -- 170),Decreasing,0.78 (0.53 -- 0.98),-0.32 (-0.76 -- -0.022),-2.2 (-31 -- -0.91)
Czechia,7 (0 -- 38),Decreasing,0.78 (0.45 -- 1),-0.32 (-0.95 -- -0.005),-2.2 (-140 -- -0.73)
Denmark,76 (16 -- 273),Likely decreasing,0.78 (0.5 -- 1),-0.31 (-0.84 -- 0.025),-2.3 (28 -- -0.83)
Estonia,6 (0 -- 43),Likely decreasing,0.74 (0.41 -- 1),-0.38 (-1.1 -- 0.034),-1.8 (20 -- -0.65)
Finland,614 (233 -- 1458),Stable,0.99 (0.72 -- 1.3),-0.014 (-0.41 -- 0.29),-48 (2.4 -- -1.7)
France,939 (500 -- 2180),Decreasing,0.84 (0.68 -- 1),-0.22 (-0.48 -- -0.0011),-3.1 (-650 -- -1.5)
Germany,119 (55 -- 389),Decreasing,0.65 (0.49 -- 0.86),-0.54 (-0.85 -- -0.2),-1.3 (-3.5 -- -0.82)
Greece,191 (107 -- 375),Decreasing,0.84 (0.72 -- 0.98),-0.21 (-0.4 -- -0.026),-3.3 (-27 -- -1.7)
Hungary,16 (3 -- 61),Likely decreasing,0.83 (0.56 -- 1.1),-0.24 (-0.71 -- 0.072),-2.9 (9.6 -- -0.98)
Ireland,26 (6 -- 91),Decreasing,0.7 (0.48 -- 0.92),-0.44 (-0.87 -- -0.1),-1.6 (-6.8 -- -0.8)
Italy,222 (108 -- 474),Decreasing,0.58 (0.48 -- 0.72),-0.66 (-0.89 -- -0.41),-1 (-1.7 -- -0.78)
Latvia,21 (4 -- 88),Decreasing,0.79 (0.52 -- 0.99),-0.29 (-0.8 -- -0.013),-2.4 (-54 -- -0.86)
Lithuania,2 (0 -- 20),Decreasing,0.64 (0.32 -- 0.96),-0.54 (-1.3 -- -0.048),-1.3 (-14 -- -0.52)
Malta,42 (12 -- 182),Likely increasing,1.1 (0.93 -- 1.6),0.16 (-0.099 -- 0.58),4.5 (1.2 -- -7)
Poland,24 (6 -- 117),Likely decreasing,0.8 (0.58 -- 1),-0.28 (-0.67 -- 0.016),-2.5 (43 -- -1)
Portugal,530 (273 -- 1135),Likely decreasing,0.95 (0.82 -- 1.1),-0.064 (-0.25 -- 0.1),-11 (6.6 -- -2.8)
Romania,39 (12 -- 116),Likely decreasing,0.87 (0.65 -- 1),-0.18 (-0.53 -- 0.056),-3.9 (12 -- -1.3)
Slovakia,2 (0 -- 16),Likely decreasing,0.85 (0.49 -- 1.1),-0.2 (-0.87 -- 0.098),-3.5 (7 -- -0.8)
Slovenia,29 (8 -- 99),Decreasing,0.78 (0.55 -- 0.98),-0.32 (-0.72 -- -0.031),-2.2 (-22 -- -0.96)
Spain,473 (173 -- 1597),Decreasing,0.75 (0.53 -- 0.98),-0.37 (-0.77 -- -0.019),-1.9 (-37 -- -0.9)
Sweden,312 (70 -- 1175),Likely decreasing,0.83 (0.52 -- 1.1),-0.24 (-0.8 -- 0.091),-2.9 (7.6 -- -0.86)
