region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Czechia,535145 (192373 -- 1424340),535145,639024,419196,192373,371358,474209,616431,786079,1424340,New confirmed cases by infection date,Increasing,0.026
Poland,175319 (61425 -- 559824),175319,232662,219897,61425,114755,151433,207045,278626,559824,New confirmed cases by infection date,Likely decreasing,0.75
Greece,74687 (44799 -- 139082),74687,81135,30273,44799,60337,68046,81960,94535,139082,New confirmed cases by infection date,Likely decreasing,0.65
Lithuania,70446 (26117 -- 214154),70446,88154,68012,26117,46600,59959,81354,107268,214154,New confirmed cases by infection date,Likely decreasing,0.68
Croatia,60736 (25072 -- 165214),60736,74702,53020,25072,42635,53745,71207,90226,165214,New confirmed cases by infection date,Likely decreasing,0.62
Slovakia,50548 (16979 -- 153724),50548,63522,48032,16979,32819,43011,59308,79440,153724,New confirmed cases by infection date,Likely increasing,0.11
Belgium,47910 (23676 -- 107028),47910,55027,29296,23676,35691,42792,53862,65829,107028,New confirmed cases by infection date,Likely increasing,0.19
France,42904 (22014 -- 96017),42904,49270,25552,22014,32704,38476,48402,58722,96017,New confirmed cases by infection date,Increasing,0.036
Hungary,35355 (10645 -- 127547),35355,49325,53236,10645,21103,28977,43337,59934,127547,New confirmed cases by infection date,Likely increasing,0.17
Bulgaria,17347 (9210 -- 37503),17347,19492,9250,9210,13372,15586,19384,22916,37503,New confirmed cases by infection date,Likely increasing,0.34
Norway,16213 (8755 -- 33244),16213,18174,8420,8755,12539,14815,18165,21791,33244,New confirmed cases by infection date,Likely decreasing,0.87
Sweden,14163 (8245 -- 26664),14163,15307,5683,8245,11279,12997,15456,18039,26664,New confirmed cases by infection date,Likely decreasing,0.64
Denmark,9787 (4658 -- 22155),9787,11163,5650,4658,7347,8763,11160,13708,22155,New confirmed cases by infection date,Stable,0.44
Luxembourg,7595 (3869 -- 17233),7595,8666,4757,3869,5537,6703,8566,10374,17233,New confirmed cases by infection date,Likely increasing,0.085
Ireland,5886 (3421 -- 11119),5886,6378,2462,3421,4716,5397,6415,7426,11119,New confirmed cases by infection date,Decreasing,0.96
Portugal,3600 (2050 -- 6719),3600,3919,1608,2050,2869,3303,3907,4567,6719,New confirmed cases by infection date,Decreasing,0.97
Austria,1646 (600 -- 5305),1646,2154,1836,600,1071,1406,1953,2659,5305,New confirmed cases by infection date,Increasing,0.037
Cyprus,1634 (673 -- 4470),1634,1998,1440,673,1135,1416,1875,2420,4470,New confirmed cases by infection date,Likely decreasing,0.94
Romania,1422 (716 -- 3230),1422,1665,1017,716,1085,1282,1599,1965,3230,New confirmed cases by infection date,Decreasing,1
Iceland,324 (147 -- 781),324,380,246,147,233,289,371,460,781,New confirmed cases by infection date,Likely decreasing,0.87
Malta,117 (60 -- 258),117,132,76,60,88,107,129,156,258,New confirmed cases by infection date,Decreasing,0.96
Liechtenstein,32 (8 -- 157),32,52,77,8,18,26,39,59,157,New confirmed cases by infection date,Likely increasing,0.28
Austria,1.3 (1 -- 1.7),1.3,1.3,0.21,1,1.1,1.2,1.3,1.4,1.7,Effective reproduction no.,Increasing,0.037
Czechia,1.3 (1 -- 1.6),1.3,1.3,0.16,1,1.2,1.2,1.3,1.4,1.6,Effective reproduction no.,Increasing,0.026
France,1.2 (1 -- 1.4),1.2,1.2,0.13,1,1.1,1.2,1.3,1.3,1.4,Effective reproduction no.,Increasing,0.036
Slovakia,1.2 (0.92 -- 1.5),1.2,1.2,0.18,0.92,1.1,1.2,1.3,1.3,1.5,Effective reproduction no.,Likely increasing,0.11
Belgium,1.1 (0.93 -- 1.2),1.1,1.1,0.088,0.93,1,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.19
Hungary,1.1 (0.87 -- 1.4),1.1,1.1,0.18,0.87,1.1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.17
Liechtenstein,1.1 (0.84 -- 1.5),1.1,1.1,0.2,0.84,0.99,1,1.1,1.2,1.5,Effective reproduction no.,Likely increasing,0.28
Luxembourg,1.1 (0.97 -- 1.3),1.1,1.1,0.093,0.97,1.1,1.1,1.1,1.2,1.3,Effective reproduction no.,Likely increasing,0.085
Bulgaria,1 (0.91 -- 1.1),1,1,0.069,0.91,0.98,1,1,1.1,1.1,Effective reproduction no.,Likely increasing,0.34
Denmark,1 (0.82 -- 1.2),1,1,0.13,0.82,0.94,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.44
Greece,0.98 (0.89 -- 1.1),0.98,0.98,0.055,0.89,0.96,0.98,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.65
Sweden,0.98 (0.91 -- 1.1),0.98,0.99,0.055,0.91,0.96,0.98,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.64
Croatia,0.96 (0.73 -- 1.1),0.96,0.95,0.13,0.73,0.87,0.93,0.99,1,1.1,Effective reproduction no.,Likely decreasing,0.62
Lithuania,0.95 (0.67 -- 1.1),0.95,0.93,0.14,0.67,0.84,0.91,0.98,1,1.1,Effective reproduction no.,Likely decreasing,0.68
Norway,0.93 (0.81 -- 1),0.93,0.92,0.075,0.81,0.87,0.91,0.94,0.97,1,Effective reproduction no.,Likely decreasing,0.87
Iceland,0.91 (0.76 -- 1),0.91,0.91,0.091,0.76,0.85,0.89,0.93,0.96,1,Effective reproduction no.,Likely decreasing,0.87
Ireland,0.91 (0.81 -- 0.99),0.91,0.91,0.057,0.81,0.87,0.89,0.93,0.94,0.99,Effective reproduction no.,Decreasing,0.96
Poland,0.91 (0.6 -- 1.1),0.91,0.89,0.16,0.6,0.78,0.86,0.95,1,1.1,Effective reproduction no.,Likely decreasing,0.75
Portugal,0.88 (0.76 -- 0.97),0.88,0.88,0.068,0.76,0.84,0.87,0.89,0.92,0.97,Effective reproduction no.,Decreasing,0.97
Cyprus,0.86 (0.69 -- 1),0.86,0.86,0.1,0.69,0.79,0.84,0.89,0.92,1,Effective reproduction no.,Likely decreasing,0.94
Malta,0.83 (0.7 -- 0.98),0.83,0.83,0.091,0.7,0.78,0.81,0.85,0.88,0.98,Effective reproduction no.,Decreasing,0.96
Romania,0.58 (0.46 -- 0.73),0.58,0.58,0.085,0.46,0.53,0.56,0.6,0.63,0.73,Effective reproduction no.,Decreasing,1
