Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,102 (47 -- 240),Decreasing,0.77 (0.63 -- 0.9),-0.33 (-0.58 -- -0.13),-2.1 (-5.1 -- -1.2)
Belgium,41 (14 -- 123),Decreasing,0.69 (0.51 -- 0.87),-0.46 (-0.82 -- -0.18),-1.5 (-4 -- -0.84)
Bulgaria,261 (124 -- 598),Likely decreasing,0.96 (0.82 -- 1.1),-0.046 (-0.25 -- 0.11),-15 (6.2 -- -2.8)
Cyprus,6 (1 -- 29),Likely decreasing,0.95 (0.62 -- 1.3),-0.062 (-0.58 -- 0.32),-11 (2.2 -- -1.2)
Czechia,30 (9 -- 92),Decreasing,0.65 (0.48 -- 0.84),-0.53 (-0.89 -- -0.23),-1.3 (-3.1 -- -0.78)
Denmark,209 (66 -- 786),Likely decreasing,0.81 (0.56 -- 1),-0.26 (-0.71 -- 0.046),-2.7 (15 -- -0.97)
Estonia,45 (12 -- 169),Likely decreasing,0.85 (0.61 -- 1.1),-0.2 (-0.6 -- 0.083),-3.5 (8.4 -- -1.2)
Finland,969 (289 -- 3614),Likely decreasing,0.9 (0.56 -- 1.1),-0.14 (-0.71 -- 0.13),-5 (5.2 -- -0.97)
France,2520 (1257 -- 5982),Likely decreasing,0.88 (0.74 -- 1),-0.15 (-0.38 -- 0.014),-4.5 (48 -- -1.8)
Germany,330 (191 -- 623),Decreasing,0.68 (0.57 -- 0.79),-0.47 (-0.68 -- -0.3),-1.5 (-2.3 -- -1)
Greece,813 (455 -- 1596),Likely decreasing,0.96 (0.83 -- 1.1),-0.045 (-0.23 -- 0.075),-15 (9.2 -- -3)
Hungary,36 (10 -- 112),Decreasing,0.8 (0.55 -- 0.99),-0.28 (-0.71 -- -0.0069),-2.5 (-100 -- -0.97)
Ireland,115 (37 -- 371),Likely decreasing,0.89 (0.64 -- 1.1),-0.14 (-0.55 -- 0.11),-4.8 (6.4 -- -1.3)
Italy,851 (417 -- 1856),Decreasing,0.69 (0.55 -- 0.92),-0.45 (-0.73 -- -0.11),-1.5 (-6.1 -- -0.95)
Latvia,143 (56 -- 389),Likely decreasing,0.91 (0.72 -- 1.1),-0.12 (-0.4 -- 0.1),-5.8 (6.6 -- -1.7)
Liechtenstein,0 (0 -- 7),Likely decreasing,0.88 (0.4 -- 1.2),-0.16 (-1.1 -- 0.26),-4.2 (2.6 -- -0.64)
Lithuania,42 (15 -- 128),Stable,1 (0.83 -- 1.3),0.015 (-0.23 -- 0.3),46 (2.3 -- -3)
Malta,17 (4 -- 79),Likely increasing,1.1 (0.88 -- 1.6),0.13 (-0.16 -- 0.59),5.3 (1.2 -- -4.3)
Poland,102 (40 -- 290),Decreasing,0.74 (0.57 -- 0.92),-0.37 (-0.68 -- -0.1),-1.9 (-6.8 -- -1)
Portugal,893 (455 -- 1727),Stable,1 (0.88 -- 1.1),0.017 (-0.15 -- 0.18),40 (3.8 -- -4.5)
Romania,83 (34 -- 206),Decreasing,0.72 (0.55 -- 0.9),-0.41 (-0.73 -- -0.14),-1.7 (-4.9 -- -0.95)
Slovakia,9 (0 -- 63),Decreasing,0.72 (0.41 -- 0.99),-0.41 (-1.1 -- -0.011),-1.7 (-61 -- -0.64)
Slovenia,76 (23 -- 291),Decreasing,0.73 (0.49 -- 0.97),-0.39 (-0.85 -- -0.035),-1.8 (-20 -- -0.81)
Spain,1429 (524 -- 3700),Likely decreasing,0.93 (0.68 -- 1.1),-0.089 (-0.47 -- 0.13),-7.8 (5.4 -- -1.5)
Sweden,510 (147 -- 1815),Likely decreasing,0.83 (0.53 -- 1.1),-0.23 (-0.76 -- 0.062),-3 (11 -- -0.92)
