Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,1901 (951 -- 4240),Stable,0.99 (0.83 -- 1.2),-0.018 (-0.22 -- 0.22),-38 (3.1 -- -3.1)
Czechia,157 (75 -- 352),Likely decreasing,0.92 (0.79 -- 1.1),-0.1 (-0.3 -- 0.14),-6.9 (5.1 -- -2.3)
Estonia,99 (36 -- 340),Likely decreasing,0.88 (0.7 -- 1.1),-0.16 (-0.45 -- 0.11),-4.4 (6.1 -- -1.5)
Germany,7960 (3939 -- 16737),Stable,1 (0.81 -- 1.2),-0.0019 (-0.27 -- 0.26),-370 (2.6 -- -2.6)
Greece,6034 (3102 -- 12953),Likely increasing,1.1 (0.95 -- 1.5),0.17 (-0.064 -- 0.49),4.2 (1.4 -- -11)
Ireland,2517 (1361 -- 5364),Likely increasing,1.1 (0.93 -- 1.3),0.097 (-0.086 -- 0.35),7.2 (2 -- -8)
Italy,3969 (2161 -- 8782),Stable,0.98 (0.87 -- 1.2),-0.021 (-0.18 -- 0.25),-34 (2.8 -- -3.8)
Latvia,190 (80 -- 511),Likely decreasing,0.87 (0.71 -- 1.1),-0.17 (-0.44 -- 0.091),-4 (7.7 -- -1.6)
Malta,964 (435 -- 2368),Likely increasing,1.1 (0.96 -- 1.3),0.13 (-0.049 -- 0.38),5.3 (1.8 -- -14)
Netherlands,2586 (1612 -- 4460),Likely increasing,1.1 (1 -- 1.2),0.14 (-0.0047 -- 0.28),4.9 (2.4 -- -150)
Slovakia,130 (44 -- 372),Likely decreasing,0.87 (0.64 -- 1),-0.18 (-0.55 -- 0.042),-3.9 (17 -- -1.3)
