Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,12 (2 -- 54),Likely decreasing,0.91 (0.63 -- 1.1),-0.12 (-0.58 -- 0.19),-5.6 (3.7 -- -1.2)
Bulgaria,313 (115 -- 1109),Likely decreasing,0.9 (0.71 -- 1.1),-0.13 (-0.43 -- 0.15),-5.4 (4.6 -- -1.6)
Czechia,1008 (577 -- 1850),Stable,1 (0.91 -- 1.2),0.026 (-0.12 -- 0.24),27 (2.9 -- -5.7)
Denmark,682 (338 -- 1505),Likely decreasing,0.93 (0.78 -- 1.1),-0.086 (-0.31 -- 0.13),-8.1 (5.5 -- -2.3)
Estonia,355 (156 -- 946),Stable,1 (0.86 -- 1.3),0.023 (-0.19 -- 0.32),30 (2.2 -- -3.7)
Greece,16056 (7235 -- 40608),Likely decreasing,0.98 (0.84 -- 1.2),-0.031 (-0.22 -- 0.18),-23 (3.8 -- -3.2)
Hungary,236 (98 -- 633),Likely decreasing,0.93 (0.75 -- 1.1),-0.09 (-0.36 -- 0.11),-7.7 (6.4 -- -1.9)
Iceland,328 (110 -- 1223),Increasing,1.3 (1 -- 1.8),0.31 (0.029 -- 0.74),2.3 (0.93 -- 24)
Ireland,6312 (3629 -- 12004),Increasing,1.1 (1 -- 1.2),0.15 (0.032 -- 0.28),4.7 (2.5 -- 21)
Latvia,79 (40 -- 156),Stable,1 (0.86 -- 1.2),0.02 (-0.19 -- 0.23),34 (3 -- -3.7)
Liechtenstein,2 (0 -- 13),Stable,0.98 (0.62 -- 1.4),-0.021 (-0.59 -- 0.42),-34 (1.6 -- -1.2)
Lithuania,1173 (654 -- 2279),Stable,0.99 (0.84 -- 1.3),-0.014 (-0.21 -- 0.32),-49 (2.1 -- -3.3)
Luxembourg,722 (320 -- 1840),Likely increasing,1.1 (0.97 -- 1.4),0.13 (-0.04 -- 0.4),5.3 (1.7 -- -17)
Malta,457 (169 -- 1361),Increasing,1.4 (1.1 -- 1.9),0.45 (0.12 -- 0.83),1.5 (0.83 -- 5.9)
Poland,1739 (899 -- 3808),Likely decreasing,0.97 (0.84 -- 1.3),-0.041 (-0.21 -- 0.3),-17 (2.3 -- -3.3)
Portugal,15570 (7114 -- 33448),Increasing,1.7 (1.4 -- 2.2),0.74 (0.41 -- 1),0.94 (0.67 -- 1.7)
Romania,1579 (849 -- 2985),Likely decreasing,0.95 (0.81 -- 1.3),-0.062 (-0.26 -- 0.36),-11 (1.9 -- -2.6)
Slovenia,232 (109 -- 558),Likely increasing,1.1 (0.93 -- 1.4),0.089 (-0.095 -- 0.43),7.8 (1.6 -- -7.3)
Sweden,2105 (1248 -- 4098),Likely increasing,1.1 (0.99 -- 1.3),0.15 (-0.015 -- 0.33),4.7 (2.1 -- -45)
