Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,1486 (742 -- 4147),Decreasing,0.75 (0.59 -- 1),-0.35 (-0.64 -- 0.0038),-2 (180 -- -1.1)
Czechia,143 (64 -- 383),Decreasing,0.78 (0.61 -- 0.96),-0.31 (-0.61 -- -0.049),-2.3 (-14 -- -1.1)
Denmark,2051 (872 -- 5388),Likely decreasing,0.92 (0.69 -- 1.2),-0.1 (-0.45 -- 0.22),-6.9 (3.2 -- -1.5)
Estonia,86 (35 -- 239),Decreasing,0.7 (0.54 -- 0.88),-0.44 (-0.76 -- -0.17),-1.6 (-4.2 -- -0.91)
Germany,6408 (3168 -- 19159),Likely decreasing,0.8 (0.63 -- 1),-0.29 (-0.58 -- 0.042),-2.4 (17 -- -1.2)
Greece,2548 (1447 -- 4943),Likely decreasing,0.88 (0.77 -- 1),-0.16 (-0.33 -- 0.059),-4.2 (12 -- -2.1)
Ireland,1167 (726 -- 2181),Likely decreasing,0.89 (0.81 -- 1),-0.15 (-0.27 -- 0.042),-4.7 (17 -- -2.6)
Italy,2556 (1519 -- 4363),Decreasing,0.76 (0.67 -- 0.86),-0.34 (-0.49 -- -0.19),-2.1 (-3.6 -- -1.4)
Latvia,159 (78 -- 385),Decreasing,0.71 (0.58 -- 0.88),-0.42 (-0.67 -- -0.17),-1.7 (-4.2 -- -1)
Malta,820 (303 -- 2476),Likely increasing,1.1 (0.9 -- 1.3),0.096 (-0.13 -- 0.34),7.2 (2 -- -5.4)
Netherlands,2447 (740 -- 11117),Stable,1 (0.81 -- 1.3),0.026 (-0.26 -- 0.37),27 (1.9 -- -2.7)
Spain,28690 (14466 -- 65371),Likely decreasing,0.96 (0.81 -- 1.2),-0.053 (-0.27 -- 0.2),-13 (3.5 -- -2.6)
