Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Austria,571 (178 -- 2250),Likely increasing,1.1 (0.94 -- 1.4),0.16 (-0.08 -- 0.45),4.4 (1.5 -- -8.6)
Belgium,70929 (22677 -- 233891),Likely increasing,1.1 (0.81 -- 1.4),0.14 (-0.25 -- 0.39),4.9 (1.8 -- -2.8)
Bulgaria,5171 (2196 -- 11682),Increasing,1.6 (1.3 -- 2.1),0.66 (0.32 -- 1),1.1 (0.67 -- 2.2)
Czechia,18739 (8432 -- 43330),Increasing,1.3 (1.1 -- 1.5),0.33 (0.17 -- 0.55),2.1 (1.3 -- 4)
Denmark,3259 (1365 -- 9327),Likely increasing,1.1 (0.85 -- 1.4),0.062 (-0.21 -- 0.46),11 (1.5 -- -3.3)
Greece,327352 (145778 -- 780603),Likely increasing,1.1 (0.97 -- 1.2),0.14 (-0.034 -- 0.28),5.1 (2.5 -- -21)
Hungary,1768 (612 -- 5727),Increasing,1.4 (1.1 -- 1.8),0.41 (0.098 -- 0.76),1.7 (0.91 -- 7.1)
Iceland,1846 (606 -- 6231),Likely increasing,1.1 (0.9 -- 1.4),0.12 (-0.14 -- 0.41),5.9 (1.7 -- -4.9)
Ireland,30301 (12049 -- 80561),Stable,1 (0.83 -- 1.2),0.022 (-0.24 -- 0.21),31 (3.3 -- -2.9)
Liechtenstein,38 (13 -- 123),Likely increasing,1 (0.82 -- 1.4),0.054 (-0.25 -- 0.43),13 (1.6 -- -2.8)
Lithuania,23851 (11533 -- 53753),Increasing,1.5 (1.3 -- 1.7),0.52 (0.3 -- 0.74),1.3 (0.94 -- 2.3)
Luxembourg,12843 (3264 -- 52553),Likely increasing,1.1 (0.83 -- 1.4),0.1 (-0.24 -- 0.39),6.7 (1.8 -- -2.9)
Malta,7514 (1994 -- 31267),Likely increasing,1.1 (0.83 -- 1.4),0.11 (-0.24 -- 0.42),6.6 (1.7 -- -2.9)
Poland,130102 (54670 -- 306632),Increasing,1.5 (1.3 -- 1.7),0.5 (0.33 -- 0.7),1.4 (0.99 -- 2.1)
Portugal,59074 (22625 -- 178100),Stable,0.99 (0.76 -- 1.2),-0.011 (-0.34 -- 0.21),-63 (3.2 -- -2)
Romania,240634 (112828 -- 518832),Increasing,1.7 (1.6 -- 2),0.74 (0.58 -- 0.92),0.94 (0.75 -- 1.2)
Slovenia,4470 (2020 -- 10402),Increasing,1.3 (1.1 -- 1.6),0.36 (0.16 -- 0.61),2 (1.1 -- 4.4)
Sweden,22858 (10865 -- 54298),Increasing,1.3 (1.1 -- 1.5),0.3 (0.14 -- 0.5),2.3 (1.4 -- 4.9)
