Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Belgium,4482 (2678 -- 8225),Decreasing,0.8 (0.71 -- 0.9),-0.28 (-0.43 -- -0.14),-2.5 (-5.1 -- -1.6)
Cyprus,53 (17 -- 150),Likely decreasing,0.94 (0.68 -- 1.2),-0.077 (-0.46 -- 0.21),-9 (3.3 -- -1.5)
Czechia,1826 (1047 -- 3502),Decreasing,0.67 (0.57 -- 0.79),-0.5 (-0.7 -- -0.3),-1.4 (-2.3 -- -0.99)
Denmark,9049 (4155 -- 21218),Likely decreasing,0.95 (0.77 -- 1.1),-0.066 (-0.32 -- 0.12),-11 (5.8 -- -2.2)
Estonia,1688 (812 -- 4025),Likely decreasing,0.89 (0.69 -- 1),-0.15 (-0.47 -- 0.041),-4.6 (17 -- -1.5)
France,57033 (26817 -- 133189),Stable,1 (0.83 -- 1.2),0.02 (-0.23 -- 0.28),35 (2.5 -- -3)
Germany,24096 (14737 -- 46381),Decreasing,0.8 (0.72 -- 0.91),-0.28 (-0.41 -- -0.12),-2.5 (-6 -- -1.7)
Greece,11106 (6967 -- 19513),Stable,1 (0.92 -- 1.1),-0.00024 (-0.1 -- 0.12),-2900 (5.6 -- -6.6)
Hungary,1023 (529 -- 2283),Likely decreasing,0.98 (0.86 -- 1.1),-0.022 (-0.19 -- 0.15),-31 (4.6 -- -3.6)
Iceland,52 (10 -- 212),Likely decreasing,0.86 (0.57 -- 1.1),-0.19 (-0.67 -- 0.11),-3.7 (6.1 -- -1)
Ireland,5097 (2592 -- 9984),Likely decreasing,0.87 (0.76 -- 1),-0.18 (-0.35 -- 0.023),-3.9 (30 -- -2)
Italy,31082 (18638 -- 56004),Likely increasing,1 (0.96 -- 1.1),0.044 (-0.046 -- 0.15),16 (4.6 -- -15)
Latvia,2498 (1156 -- 5808),Likely decreasing,0.92 (0.75 -- 1.1),-0.11 (-0.36 -- 0.078),-6.6 (8.8 -- -1.9)
Luxembourg,310 (143 -- 746),Stable,0.98 (0.79 -- 1.2),-0.02 (-0.3 -- 0.26),-35 (2.6 -- -2.3)
Malta,145 (67 -- 356),Likely decreasing,0.89 (0.72 -- 1),-0.15 (-0.41 -- 0.025),-4.5 (28 -- -1.7)
Netherlands,5777 (1638 -- 26869),Likely decreasing,0.89 (0.68 -- 1.1),-0.15 (-0.48 -- 0.15),-4.6 (4.7 -- -1.5)
Slovakia,1918 (1038 -- 4109),Decreasing,0.82 (0.69 -- 0.99),-0.24 (-0.46 -- -0.012),-2.9 (-57 -- -1.5)
Slovenia,1414 (599 -- 3387),Stable,1 (0.83 -- 1.3),0.039 (-0.24 -- 0.33),18 (2.1 -- -2.9)
Spain,39163 (21633 -- 75893),Likely increasing,1 (0.94 -- 1.2),0.053 (-0.077 -- 0.23),13 (3 -- -9)
