location,location_name,value,target_end_date
AT,Austria,211516,2022-02-26
AT,Austria,203039,2022-03-05
AT,Austria,276570,2022-03-12
AT,Austria,313144,2022-03-19
BE,Belgium,0,2020-02-01
BE,Belgium,1,2020-02-08
BE,Belgium,0,2020-02-15
BE,Belgium,0,2020-02-22
BE,Belgium,0,2020-02-29
BE,Belgium,168,2020-03-07
BE,Belgium,520,2020-03-14
BE,Belgium,2126,2020-03-21
BE,Belgium,6319,2020-03-28
BE,Belgium,9297,2020-04-04
BE,Belgium,9587,2020-04-11
BE,Belgium,9165,2020-04-18
BE,Belgium,8142,2020-04-25
BE,Belgium,4192,2020-05-02
BE,Belgium,3079,2020-05-09
BE,Belgium,2393,2020-05-16
BE,Belgium,1821,2020-05-23
BE,Belgium,1376,2020-05-30
BE,Belgium,886,2020-06-06
BE,Belgium,846,2020-06-13
BE,Belgium,632,2020-06-20
BE,Belgium,659,2020-06-27
BE,Belgium,629,2020-07-04
BE,Belgium,631,2020-07-11
BE,Belgium,1237,2020-07-18
BE,Belgium,2021,2020-07-25
BE,Belgium,3675,2020-08-01
BE,Belgium,3999,2020-08-08
BE,Belgium,4468,2020-08-15
BE,Belgium,3599,2020-08-22
BE,Belgium,3131,2020-08-29
BE,Belgium,3226,2020-09-05
BE,Belgium,4653,2020-09-12
BE,Belgium,8270,2020-09-19
BE,Belgium,12055,2020-09-26
BE,Belgium,14820,2020-10-03
BE,Belgium,29308,2020-10-10
BE,Belgium,56184,2020-10-17
BE,Belgium,92294,2020-10-24
BE,Belgium,123820,2020-10-31
BE,Belgium,64939,2020-11-07
BE,Belgium,37112,2020-11-14
BE,Belgium,25624,2020-11-21
BE,Belgium,17544,2020-11-28
BE,Belgium,15494,2020-12-05
BE,Belgium,13217,2020-12-12
BE,Belgium,20601,2020-12-19
BE,Belgium,14270,2020-12-26
BE,Belgium,11139,2021-01-02
BE,Belgium,13525,2021-01-09
BE,Belgium,14515,2021-01-16
BE,Belgium,14645,2021-01-23
BE,Belgium,15983,2021-01-30
BE,Belgium,16033,2021-02-06
BE,Belgium,13245,2021-02-13
BE,Belgium,15264,2021-02-20
BE,Belgium,17035,2021-02-27
BE,Belgium,16395,2021-03-06
BE,Belgium,19512,2021-03-13
BE,Belgium,22620,2021-03-20
BE,Belgium,38122,2021-03-27
BE,Belgium,31411,2021-04-03
BE,Belgium,25013,2021-04-10
BE,Belgium,24513,2021-04-17
BE,Belgium,25041,2021-04-24
BE,Belgium,21393,2021-05-01
BE,Belgium,20917,2021-05-08
BE,Belgium,15720,2021-05-15
BE,Belgium,17057,2021-05-22
BE,Belgium,12635,2021-05-29
BE,Belgium,10111,2021-06-05
BE,Belgium,5891,2021-06-12
BE,Belgium,3319,2021-06-19
BE,Belgium,3392,2021-06-26
BE,Belgium,4032,2021-07-03
BE,Belgium,7192,2021-07-10
BE,Belgium,9713,2021-07-17
BE,Belgium,10052,2021-07-24
BE,Belgium,11250,2021-07-31
BE,Belgium,12011,2021-08-07
BE,Belgium,13143,2021-08-14
BE,Belgium,13857,2021-08-21
BE,Belgium,14183,2021-08-28
BE,Belgium,14099,2021-09-04
BE,Belgium,13508,2021-09-11
BE,Belgium,14298,2021-09-18
BE,Belgium,13909,2021-09-25
BE,Belgium,13474,2021-10-02
BE,Belgium,13905,2021-10-09
BE,Belgium,18767,2021-10-16
BE,Belgium,32491,2021-10-23
BE,Belgium,48290,2021-10-30
BE,Belgium,53813,2021-11-06
BE,Belgium,70249,2021-11-13
BE,Belgium,96788,2021-11-20
BE,Belgium,120133,2021-11-27
BE,Belgium,125834,2021-12-04
BE,Belgium,102305,2021-12-11
BE,Belgium,69992,2021-12-18
BE,Belgium,38347,2021-12-25
BE,Belgium,67232,2022-01-01
BE,Belgium,126343,2022-01-08
BE,Belgium,179045,2022-01-15
BE,Belgium,286508,2022-01-22
BE,Belgium,358686,2022-01-29
BE,Belgium,240113,2022-02-05
BE,Belgium,125043,2022-02-12
BE,Belgium,73142,2022-02-19
BE,Belgium,49811,2022-02-26
BE,Belgium,42258,2022-03-05
BE,Belgium,53760,2022-03-12
BE,Belgium,67509,2022-03-19
BG,Bulgaria,0,2020-02-01
BG,Bulgaria,0,2020-02-08
BG,Bulgaria,0,2020-02-15
BG,Bulgaria,0,2020-02-22
BG,Bulgaria,0,2020-02-29
BG,Bulgaria,0,2020-03-07
BG,Bulgaria,41,2020-03-14
BG,Bulgaria,122,2020-03-21
BG,Bulgaria,168,2020-03-28
BG,Bulgaria,172,2020-04-04
BG,Bulgaria,158,2020-04-11
BG,Bulgaria,217,2020-04-18
BG,Bulgaria,369,2020-04-25
BG,Bulgaria,347,2020-05-02
BG,Bulgaria,327,2020-05-09
BG,Bulgaria,254,2020-05-16
BG,Bulgaria,233,2020-05-23
BG,Bulgaria,91,2020-05-30
BG,Bulgaria,212,2020-06-06
BG,Bulgaria,555,2020-06-13
BG,Bulgaria,606,2020-06-20
BG,Bulgaria,753,2020-06-27
BG,Bulgaria,1052,2020-07-04
BG,Bulgaria,1498,2020-07-11
BG,Bulgaria,1463,2020-07-18
BG,Bulgaria,1674,2020-07-25
BG,Bulgaria,1524,2020-08-01
BG,Bulgaria,1507,2020-08-08
BG,Bulgaria,990,2020-08-15
BG,Bulgaria,798,2020-08-22
BG,Bulgaria,1033,2020-08-29
BG,Bulgaria,886,2020-09-05
BG,Bulgaria,841,2020-09-12
BG,Bulgaria,928,2020-09-19
BG,Bulgaria,1178,2020-09-26
BG,Bulgaria,1521,2020-10-03
BG,Bulgaria,2801,2020-10-10
BG,Bulgaria,4789,2020-10-17
BG,Bulgaria,8454,2020-10-24
BG,Bulgaria,15282,2020-10-31
BG,Bulgaria,21641,2020-11-07
BG,Bulgaria,22950,2020-11-14
BG,Bulgaria,23262,2020-11-21
BG,Bulgaria,21050,2020-11-28
BG,Bulgaria,19097,2020-12-05
BG,Bulgaria,18108,2020-12-12
BG,Bulgaria,12077,2020-12-19
BG,Bulgaria,6355,2020-12-26
BG,Bulgaria,5496,2021-01-02
BG,Bulgaria,5526,2021-01-09
BG,Bulgaria,3330,2021-01-16
BG,Bulgaria,2960,2021-01-23
BG,Bulgaria,3922,2021-01-30
BG,Bulgaria,4934,2021-02-06
BG,Bulgaria,5964,2021-02-13
BG,Bulgaria,6923,2021-02-20
BG,Bulgaria,10267,2021-02-27
BG,Bulgaria,13105,2021-03-06
BG,Bulgaria,18067,2021-03-13
BG,Bulgaria,24602,2021-03-20
BG,Bulgaria,25290,2021-03-27
BG,Bulgaria,24489,2021-04-03
BG,Bulgaria,19272,2021-04-10
BG,Bulgaria,14432,2021-04-17
BG,Bulgaria,11137,2021-04-24
BG,Bulgaria,7746,2021-05-01
BG,Bulgaria,5115,2021-05-08
BG,Bulgaria,4080,2021-05-15
BG,Bulgaria,2524,2021-05-22
BG,Bulgaria,1656,2021-05-29
BG,Bulgaria,1205,2021-06-05
BG,Bulgaria,868,2021-06-12
BG,Bulgaria,711,2021-06-19
BG,Bulgaria,510,2021-06-26
BG,Bulgaria,519,2021-07-03
BG,Bulgaria,412,2021-07-10
BG,Bulgaria,484,2021-07-17
BG,Bulgaria,699,2021-07-24
BG,Bulgaria,1425,2021-07-31
BG,Bulgaria,2819,2021-08-07
BG,Bulgaria,5089,2021-08-14
BG,Bulgaria,7949,2021-08-21
BG,Bulgaria,10237,2021-08-28
BG,Bulgaria,10397,2021-09-04
BG,Bulgaria,9290,2021-09-11
BG,Bulgaria,10893,2021-09-18
BG,Bulgaria,10637,2021-09-25
BG,Bulgaria,13116,2021-10-02
BG,Bulgaria,14760,2021-10-09
BG,Bulgaria,19378,2021-10-16
BG,Bulgaria,28454,2021-10-23
BG,Bulgaria,32962,2021-10-30
BG,Bulgaria,30471,2021-11-06
BG,Bulgaria,23313,2021-11-13
BG,Bulgaria,17736,2021-11-20
BG,Bulgaria,16073,2021-11-27
BG,Bulgaria,13826,2021-12-04
BG,Bulgaria,11702,2021-12-11
BG,Bulgaria,10181,2021-12-18
BG,Bulgaria,9545,2021-12-25
BG,Bulgaria,14302,2022-01-01
BG,Bulgaria,30517,2022-01-08
BG,Bulgaria,39528,2022-01-15
BG,Bulgaria,59152,2022-01-22
BG,Bulgaria,61831,2022-01-29
BG,Bulgaria,54043,2022-02-05
BG,Bulgaria,42030,2022-02-12
BG,Bulgaria,31128,2022-02-19
BG,Bulgaria,21383,2022-02-26
BG,Bulgaria,13015,2022-03-05
BG,Bulgaria,11365,2022-03-12
BG,Bulgaria,11538,2022-03-19
CH,Switzerland,0,2020-02-01
CH,Switzerland,0,2020-02-08
CH,Switzerland,0,2020-02-15
CH,Switzerland,0,2020-02-22
CH,Switzerland,18,2020-02-29
CH,Switzerland,250,2020-03-07
CH,Switzerland,1091,2020-03-14
CH,Switzerland,5216,2020-03-21
CH,Switzerland,7501,2020-03-28
CH,Switzerland,6429,2020-04-04
CH,Switzerland,4602,2020-04-11
CH,Switzerland,2297,2020-04-18
CH,Switzerland,1490,2020-04-25
CH,Switzerland,923,2020-05-02
CH,Switzerland,434,2020-05-09
CH,Switzerland,321,2020-05-16
CH,Switzerland,153,2020-05-23
CH,Switzerland,120,2020-05-30
CH,Switzerland,111,2020-06-06
CH,Switzerland,138,2020-06-13
CH,Switzerland,149,2020-06-20
CH,Switzerland,312,2020-06-27
CH,Switzerland,643,2020-07-04
CH,Switzerland,619,2020-07-11
CH,Switzerland,675,2020-07-18
CH,Switzerland,810,2020-07-25
CH,Switzerland,1110,2020-08-01
CH,Switzerland,1039,2020-08-08
CH,Switzerland,1473,2020-08-15
CH,Switzerland,1703,2020-08-22
CH,Switzerland,2095,2020-08-29
CH,Switzerland,2235,2020-09-05
CH,Switzerland,2747,2020-09-12
CH,Switzerland,2579,2020-09-19
CH,Switzerland,2581,2020-09-26
CH,Switzerland,2520,2020-10-03
CH,Switzerland,5984,2020-10-10
CH,Switzerland,14054,2020-10-17
CH,Switzerland,29231,2020-10-24
CH,Switzerland,50598,2020-10-31
CH,Switzerland,57662,2020-11-07
CH,Switzerland,45222,2020-11-14
CH,Switzerland,33466,2020-11-21
CH,Switzerland,27689,2020-11-28
CH,Switzerland,26207,2020-12-05
CH,Switzerland,29334,2020-12-12
CH,Switzerland,30158,2020-12-19
CH,Switzerland,24208,2020-12-26
CH,Switzerland,24099,2021-01-02
CH,Switzerland,25687,2021-01-09
CH,Switzerland,17245,2021-01-16
CH,Switzerland,14051,2021-01-23
CH,Switzerland,12041,2021-01-30
CH,Switzerland,10553,2021-02-06
CH,Switzerland,8854,2021-02-13
CH,Switzerland,7048,2021-02-20
CH,Switzerland,7157,2021-02-27
CH,Switzerland,7358,2021-03-06
CH,Switzerland,8355,2021-03-13
CH,Switzerland,9964,2021-03-20
CH,Switzerland,11608,2021-03-27
CH,Switzerland,13125,2021-04-03
CH,Switzerland,12201,2021-04-10
CH,Switzerland,14856,2021-04-17
CH,Switzerland,14110,2021-04-24
CH,Switzerland,13465,2021-05-01
CH,Switzerland,10639,2021-05-08
CH,Switzerland,8897,2021-05-15
CH,Switzerland,7843,2021-05-22
CH,Switzerland,5670,2021-05-29
CH,Switzerland,4269,2021-06-05
CH,Switzerland,2759,2021-06-12
CH,Switzerland,1576,2021-06-19
CH,Switzerland,880,2021-06-26
CH,Switzerland,827,2021-07-03
CH,Switzerland,1609,2021-07-10
CH,Switzerland,3033,2021-07-17
CH,Switzerland,4692,2021-07-24
CH,Switzerland,4997,2021-07-31
CH,Switzerland,6303,2021-08-07
CH,Switzerland,11407,2021-08-14
CH,Switzerland,17386,2021-08-21
CH,Switzerland,18004,2021-08-28
CH,Switzerland,14931,2021-09-04
CH,Switzerland,22362,2021-09-11
CH,Switzerland,15020,2021-09-18
CH,Switzerland,10307,2021-09-25
CH,Switzerland,8188,2021-10-02
CH,Switzerland,6845,2021-10-09
CH,Switzerland,6173,2021-10-16
CH,Switzerland,7820,2021-10-23
CH,Switzerland,10147,2021-10-30
CH,Switzerland,14888,2021-11-06
CH,Switzerland,21592,2021-11-13
CH,Switzerland,32180,2021-11-20
CH,Switzerland,45616,2021-11-27
CH,Switzerland,57799,2021-12-04
CH,Switzerland,67290,2021-12-11
CH,Switzerland,63798,2021-12-18
CH,Switzerland,51674,2021-12-25
CH,Switzerland,105220,2022-01-01
CH,Switzerland,150597,2022-01-08
CH,Switzerland,183229,2022-01-15
CH,Switzerland,212878,2022-01-22
CH,Switzerland,251758,2022-01-29
CH,Switzerland,233536,2022-02-05
CH,Switzerland,173121,2022-02-12
CH,Switzerland,126460,2022-02-19
CH,Switzerland,101024,2022-02-26
CH,Switzerland,125350,2022-03-05
CH,Switzerland,182190,2022-03-12
CH,Switzerland,196195,2022-03-19
CY,Cyprus,0,2020-02-01
CY,Cyprus,0,2020-02-08
CY,Cyprus,0,2020-02-15
CY,Cyprus,0,2020-02-22
CY,Cyprus,0,2020-02-29
CY,Cyprus,0,2020-03-07
CY,Cyprus,14,2020-03-14
CY,Cyprus,53,2020-03-21
CY,Cyprus,95,2020-03-28
CY,Cyprus,234,2020-04-04
CY,Cyprus,199,2020-04-11
CY,Cyprus,140,2020-04-18
CY,Cyprus,69,2020-04-25
CY,Cyprus,53,2020-05-02
CY,Cyprus,34,2020-05-09
CY,Cyprus,19,2020-05-16
CY,Cyprus,17,2020-05-23
CY,Cyprus,14,2020-05-30
CY,Cyprus,19,2020-06-06
CY,Cyprus,20,2020-06-13
CY,Cyprus,5,2020-06-20
CY,Cyprus,7,2020-06-27
CY,Cyprus,7,2020-07-04
CY,Cyprus,14,2020-07-11
CY,Cyprus,18,2020-07-18
CY,Cyprus,16,2020-07-25
CY,Cyprus,67,2020-08-01
CY,Cyprus,108,2020-08-08
CY,Cyprus,96,2020-08-15
CY,Cyprus,88,2020-08-22
CY,Cyprus,75,2020-08-29
CY,Cyprus,17,2020-09-05
CY,Cyprus,22,2020-09-12
CY,Cyprus,45,2020-09-19
CY,Cyprus,106,2020-09-26
CY,Cyprus,118,2020-10-03
CY,Cyprus,162,2020-10-10
CY,Cyprus,428,2020-10-17
CY,Cyprus,935,2020-10-24
CY,Cyprus,903,2020-10-31
CY,Cyprus,1340,2020-11-07
CY,Cyprus,1296,2020-11-14
CY,Cyprus,1358,2020-11-21
CY,Cyprus,1772,2020-11-28
CY,Cyprus,1829,2020-12-05
CY,Cyprus,2664,2020-12-12
CY,Cyprus,2581,2020-12-19
CY,Cyprus,2309,2020-12-26
CY,Cyprus,3909,2021-01-02
CY,Cyprus,3856,2021-01-09
CY,Cyprus,1935,2021-01-16
CY,Cyprus,1149,2021-01-23
CY,Cyprus,899,2021-01-30
CY,Cyprus,909,2021-02-06
CY,Cyprus,776,2021-02-13
CY,Cyprus,758,2021-02-20
CY,Cyprus,1135,2021-02-27
CY,Cyprus,2260,2021-03-06
CY,Cyprus,2602,2021-03-13
CY,Cyprus,2596,2021-03-20
CY,Cyprus,2496,2021-03-27
CY,Cyprus,3201,2021-04-03
CY,Cyprus,3711,2021-04-10
CY,Cyprus,4032,2021-04-17
CY,Cyprus,6060,2021-04-24
CY,Cyprus,5335,2021-05-01
CY,Cyprus,2857,2021-05-08
CY,Cyprus,1976,2021-05-15
CY,Cyprus,1003,2021-05-22
CY,Cyprus,562,2021-05-29
CY,Cyprus,447,2021-06-05
CY,Cyprus,406,2021-06-12
CY,Cyprus,405,2021-06-19
CY,Cyprus,823,2021-06-26
CY,Cyprus,2905,2021-07-03
CY,Cyprus,5601,2021-07-10
CY,Cyprus,6947,2021-07-17
CY,Cyprus,6792,2021-07-24
CY,Cyprus,5217,2021-07-31
CY,Cyprus,3790,2021-08-07
CY,Cyprus,3312,2021-08-14
CY,Cyprus,2523,2021-08-21
CY,Cyprus,2027,2021-08-28
CY,Cyprus,1748,2021-09-04
CY,Cyprus,1369,2021-09-11
CY,Cyprus,1028,2021-09-18
CY,Cyprus,867,2021-09-25
CY,Cyprus,682,2021-10-02
CY,Cyprus,720,2021-10-09
CY,Cyprus,1003,2021-10-16
CY,Cyprus,1001,2021-10-23
CY,Cyprus,1021,2021-10-30
CY,Cyprus,1396,2021-11-06
CY,Cyprus,1623,2021-11-13
CY,Cyprus,2852,2021-11-20
CY,Cyprus,2063,2021-11-27
CY,Cyprus,4574,2021-12-04
CY,Cyprus,3933,2021-12-11
CY,Cyprus,4255,2021-12-18
CY,Cyprus,5135,2021-12-25
CY,Cyprus,19311,2022-01-01
CY,Cyprus,32201,2022-01-08
CY,Cyprus,22407,2022-01-15
CY,Cyprus,13493,2022-01-22
CY,Cyprus,13865,2022-01-29
CY,Cyprus,20295,2022-02-05
CY,Cyprus,16643,2022-02-12
CY,Cyprus,16440,2022-02-19
CY,Cyprus,14270,2022-02-26
CY,Cyprus,12735,2022-03-05
CY,Cyprus,19180,2022-03-12
CY,Cyprus,22970,2022-03-19
CZ,Czechia,0,2020-02-01
CZ,Czechia,0,2020-02-08
CZ,Czechia,0,2020-02-15
CZ,Czechia,0,2020-02-22
CZ,Czechia,0,2020-02-29
CZ,Czechia,19,2020-03-07
CZ,Czechia,170,2020-03-14
CZ,Czechia,806,2020-03-21
CZ,Czechia,1636,2020-03-28
CZ,Czechia,1841,2020-04-04
CZ,Czechia,1359,2020-04-11
CZ,Czechia,775,2020-04-18
CZ,Czechia,746,2020-04-25
CZ,Czechia,403,2020-05-02
CZ,Czechia,340,2020-05-09
CZ,Czechia,360,2020-05-16
CZ,Czechia,435,2020-05-23
CZ,Czechia,340,2020-05-30
CZ,Czechia,337,2020-06-06
CZ,Czechia,424,2020-06-13
CZ,Czechia,457,2020-06-20
CZ,Czechia,850,2020-06-27
CZ,Czechia,1142,2020-07-04
CZ,Czechia,675,2020-07-11
CZ,Czechia,740,2020-07-18
CZ,Czechia,1357,2020-07-25
CZ,Czechia,1487,2020-08-01
CZ,Czechia,1536,2020-08-08
CZ,Czechia,1656,2020-08-15
CZ,Czechia,1899,2020-08-22
CZ,Czechia,2304,2020-08-29
CZ,Czechia,3658,2020-09-05
CZ,Czechia,7649,2020-09-12
CZ,Czechia,12905,2020-09-19
CZ,Czechia,14988,2020-09-26
CZ,Czechia,17311,2020-10-03
CZ,Czechia,33400,2020-10-10
CZ,Czechia,54822,2020-10-17
CZ,Czechia,81970,2020-10-24
CZ,Czechia,84305,2020-10-31
CZ,Czechia,76118,2020-11-07
CZ,Czechia,47009,2020-11-14
CZ,Czechia,32521,2020-11-21
CZ,Czechia,27899,2020-11-28
CZ,Czechia,25530,2020-12-05
CZ,Czechia,31243,2020-12-12
CZ,Czechia,43414,2020-12-19
CZ,Czechia,48733,2020-12-26
CZ,Czechia,67900,2021-01-02
CZ,Czechia,87247,2021-01-09
CZ,Czechia,61190,2021-01-16
CZ,Czechia,49455,2021-01-23
CZ,Czechia,47353,2021-01-30
CZ,Czechia,49398,2021-02-06
CZ,Czechia,52737,2021-02-13
CZ,Czechia,63472,2021-02-20
CZ,Czechia,81274,2021-02-27
CZ,Czechia,84569,2021-03-06
CZ,Czechia,79944,2021-03-13
CZ,Czechia,67298,2021-03-20
CZ,Czechia,51615,2021-03-27
CZ,Czechia,38713,2021-04-03
CZ,Czechia,28238,2021-04-10
CZ,Czechia,22369,2021-04-17
CZ,Czechia,17727,2021-04-24
CZ,Czechia,14864,2021-05-01
CZ,Czechia,11403,2021-05-08
CZ,Czechia,7903,2021-05-15
CZ,Czechia,5320,2021-05-22
CZ,Czechia,3377,2021-05-29
CZ,Czechia,2428,2021-06-05
CZ,Czechia,1659,2021-06-12
CZ,Czechia,939,2021-06-19
CZ,Czechia,860,2021-06-26
CZ,Czechia,975,2021-07-03
CZ,Czechia,1386,2021-07-10
CZ,Czechia,1641,2021-07-17
CZ,Czechia,1517,2021-07-24
CZ,Czechia,1236,2021-07-31
CZ,Czechia,1150,2021-08-07
CZ,Czechia,1354,2021-08-14
CZ,Czechia,1298,2021-08-21
CZ,Czechia,1353,2021-08-28
CZ,Czechia,1623,2021-09-04
CZ,Czechia,2572,2021-09-11
CZ,Czechia,2952,2021-09-18
CZ,Czechia,3075,2021-09-25
CZ,Czechia,4281,2021-10-02
CZ,Czechia,5840,2021-10-09
CZ,Czechia,8682,2021-10-16
CZ,Czechia,18934,2021-10-23
CZ,Czechia,31131,2021-10-30
CZ,Czechia,52574,2021-11-06
CZ,Czechia,70811,2021-11-13
CZ,Czechia,99643,2021-11-20
CZ,Czechia,129425,2021-11-27
CZ,Czechia,119441,2021-12-04
CZ,Czechia,95466,2021-12-11
CZ,Czechia,72065,2021-12-18
CZ,Czechia,47402,2021-12-25
CZ,Czechia,36088,2022-01-01
CZ,Czechia,43435,2022-01-08
CZ,Czechia,62976,2022-01-15
CZ,Czechia,145306,2022-01-22
CZ,Czechia,238654,2022-01-29
CZ,Czechia,239381,2022-02-05
CZ,Czechia,174762,2022-02-12
CZ,Czechia,112570,2022-02-19
CZ,Czechia,70897,2022-02-26
CZ,Czechia,56220,2022-03-05
CZ,Czechia,53834,2022-03-12
CZ,Czechia,54328,2022-03-19
DE,Germany,8,2020-02-01
DE,Germany,5,2020-02-08
DE,Germany,3,2020-02-15
DE,Germany,0,2020-02-22
DE,Germany,63,2020-02-29
DE,Germany,720,2020-03-07
DE,Germany,3786,2020-03-14
DE,Germany,17628,2020-03-21
DE,Germany,35482,2020-03-28
DE,Germany,38397,2020-04-04
DE,Germany,28816,2020-04-11
DE,Germany,18434,2020-04-18
DE,Germany,13171,2020-04-25
DE,Germany,8454,2020-05-02
DE,Germany,6357,2020-05-09
DE,Germany,4428,2020-05-16
DE,Germany,4234,2020-05-23
DE,Germany,3203,2020-05-30
DE,Germany,2261,2020-06-06
DE,Germany,1817,2020-06-13
DE,Germany,3403,2020-06-20
DE,Germany,3788,2020-06-27
DE,Germany,2740,2020-07-04
DE,Germany,2511,2020-07-11
DE,Germany,2717,2020-07-18
DE,Germany,3852,2020-07-25
DE,Germany,4727,2020-08-01
DE,Germany,5898,2020-08-08
DE,Germany,7585,2020-08-15
DE,Germany,9373,2020-08-22
DE,Germany,8974,2020-08-29
DE,Germany,8223,2020-09-05
DE,Germany,9759,2020-09-12
DE,Germany,12115,2020-09-19
DE,Germany,12094,2020-09-26
DE,Germany,15001,2020-10-03
DE,Germany,23436,2020-10-10
DE,Germany,41201,2020-10-17
DE,Germany,63144,2020-10-24
DE,Germany,103982,2020-10-31
DE,Germany,136324,2020-11-07
DE,Germany,131619,2020-11-14
DE,Germany,128257,2020-11-21
DE,Germany,124504,2020-11-28
DE,Germany,131146,2020-12-05
DE,Germany,152461,2020-12-12
DE,Germany,172417,2020-12-19
DE,Germany,137722,2020-12-26
DE,Germany,127300,2021-01-02
DE,Germany,154922,2021-01-09
DE,Germany,110183,2021-01-16
DE,Germany,99046,2021-01-23
DE,Germany,87220,2021-01-30
DE,Germany,60092,2021-02-06
DE,Germany,51903,2021-02-13
DE,Germany,51515,2021-02-20
DE,Germany,55756,2021-02-27
DE,Germany,57974,2021-03-06
DE,Germany,67713,2021-03-13
DE,Germany,89928,2021-03-20
DE,Germany,123133,2021-03-27
DE,Germany,103104,2021-04-03
DE,Germany,123423,2021-04-10
DE,Germany,144853,2021-04-17
DE,Germany,136988,2021-04-24
DE,Germany,132607,2021-05-01
DE,Germany,106987,2021-05-08
DE,Germany,64985,2021-05-15
DE,Germany,57147,2021-05-22
DE,Germany,31653,2021-05-29
DE,Germany,22262,2021-06-05
DE,Germany,15361,2021-06-12
DE,Germany,7302,2021-06-19
DE,Germany,4556,2021-06-26
DE,Germany,3906,2021-07-03
DE,Germany,5105,2021-07-10
DE,Germany,8089,2021-07-17
DE,Germany,10616,2021-07-24
DE,Germany,14855,2021-07-31
DE,Germany,18885,2021-08-07
DE,Germany,28937,2021-08-14
DE,Germany,45549,2021-08-21
DE,Germany,63490,2021-08-28
DE,Germany,72047,2021-09-04
DE,Germany,74548,2021-09-11
DE,Germany,63985,2021-09-18
DE,Germany,54864,2021-09-25
DE,Germany,56514,2021-10-02
DE,Germany,56985,2021-10-09
DE,Germany,62725,2021-10-16
DE,Germany,90920,2021-10-23
DE,Germany,142339,2021-10-30
DE,Germany,171163,2021-11-06
DE,Germany,257364,2021-11-13
