location,location_name,value,target_end_date
AT,Austria,0,2020-02-01
AT,Austria,0,2020-02-08
AT,Austria,0,2020-02-15
AT,Austria,0,2020-02-22
AT,Austria,0,2020-02-29
AT,Austria,0,2020-03-07
AT,Austria,1,2020-03-14
AT,Austria,7,2020-03-21
AT,Austria,60,2020-03-28
AT,Austria,118,2020-04-04
AT,Austria,151,2020-04-11
AT,Austria,106,2020-04-18
AT,Austria,93,2020-04-25
AT,Austria,60,2020-05-02
AT,Austria,19,2020-05-09
AT,Austria,14,2020-05-16
AT,Austria,10,2020-05-23
AT,Austria,29,2020-05-30
AT,Austria,4,2020-06-06
AT,Austria,5,2020-06-13
AT,Austria,11,2020-06-20
AT,Austria,12,2020-06-27
AT,Austria,5,2020-07-04
AT,Austria,1,2020-07-11
AT,Austria,5,2020-07-18
AT,Austria,1,2020-07-25
AT,Austria,6,2020-08-01
AT,Austria,3,2020-08-08
AT,Austria,7,2020-08-15
AT,Austria,4,2020-08-22
AT,Austria,1,2020-08-29
AT,Austria,2,2020-09-05
AT,Austria,19,2020-09-12
AT,Austria,11,2020-09-19
AT,Austria,22,2020-09-26
AT,Austria,22,2020-10-03
AT,Austria,43,2020-10-10
AT,Austria,37,2020-10-17
AT,Austria,76,2020-10-24
AT,Austria,144,2020-10-31
AT,Austria,268,2020-11-07
AT,Austria,369,2020-11-14
AT,Austria,582,2020-11-21
AT,Austria,690,2020-11-28
AT,Austria,739,2020-12-05
AT,Austria,658,2020-12-12
AT,Austria,794,2020-12-19
AT,Austria,634,2020-12-26
AT,Austria,432,2021-01-02
AT,Austria,412,2021-01-09
AT,Austria,366,2021-01-16
AT,Austria,336,2021-01-23
AT,Austria,314,2021-01-30
AT,Austria,291,2021-02-06
AT,Austria,201,2021-02-13
AT,Austria,173,2021-02-20
AT,Austria,170,2021-02-27
AT,Austria,156,2021-03-06
AT,Austria,162,2021-03-13
AT,Austria,196,2021-03-20
AT,Austria,179,2021-03-27
AT,Austria,203,2021-04-03
AT,Austria,228,2021-04-10
AT,Austria,208,2021-04-17
AT,Austria,200,2021-04-24
AT,Austria,163,2021-05-01
AT,Austria,141,2021-05-08
AT,Austria,96,2021-05-15
AT,Austria,71,2021-05-22
AT,Austria,51,2021-05-29
AT,Austria,44,2021-06-05
AT,Austria,16,2021-06-12
AT,Austria,27,2021-06-19
AT,Austria,20,2021-06-26
AT,Austria,10,2021-07-03
AT,Austria,14,2021-07-10
AT,Austria,5,2021-07-17
AT,Austria,3,2021-07-24
AT,Austria,6,2021-07-31
AT,Austria,13,2021-08-07
AT,Austria,4,2021-08-14
AT,Austria,7,2021-08-21
AT,Austria,16,2021-08-28
AT,Austria,13,2021-09-04
AT,Austria,47,2021-09-11
AT,Austria,52,2021-09-18
AT,Austria,72,2021-09-25
AT,Austria,60,2021-10-02
AT,Austria,69,2021-10-09
AT,Austria,71,2021-10-16
AT,Austria,84,2021-10-23
AT,Austria,100,2021-10-30
AT,Austria,137,2021-11-06
AT,Austria,207,2021-11-13
AT,Austria,304,2021-11-20
AT,Austria,356,2021-11-27
AT,Austria,404,2021-12-04
AT,Austria,390,2021-12-11
AT,Austria,319,2021-12-18
AT,Austria,164,2021-12-25
AT,Austria,123,2022-01-01
AT,Austria,95,2022-01-08
AT,Austria,71,2022-01-15
AT,Austria,70,2022-01-22
AT,Austria,92,2022-01-29
AT,Austria,137,2022-02-05
AT,Austria,146,2022-02-12
AT,Austria,177,2022-02-19
AT,Austria,225,2022-02-26
AT,Austria,224,2022-03-05
AT,Austria,194,2022-03-12
AT,Austria,207,2022-03-19
AT,Austria,278,2022-03-26
